District;Neighborhood;Latitude;Longitude
I.;Tabán;47.491667;19.040833
I.;Vár;47.501667;19.033333
I.;Gellérthegy;47.486667;19.045556
I.;Krisztinaváros;47.496806;19.031933
V.;Belváros;47.492397;19.053314
V.;Lipótváros;47.5025;19.050833
VI.;Terézváros;47.509667;19.069833
VII.;Erzsébetváros;47.500556;19.068725
VIII.;Corvin-negyed;47.486991;19.073339
VIII.;Magdolnanegyed;47.4915;19.0842
VIII.;Orczynegyed;47.483424;19.090569
VIII.;Palotanegyed;47.491667;19.066667
VIII.;Tisztviselőtelep;47.481667;19.096864
IX.;Ferencváros;47.466667;19.083333
XIII.;Angyalföld;47.516667;19.060000
XIII.;Újlipótváros;19.054167;19.054167
XIII.;Vizafogó;47.535556;19.061944
